symbol,companyName,shares,avgCostPerShare
ASML,ASML HLDG NV NY REG SHS,7,$705.09
VOO,VANGUARD 500 INDEX FUND,29,$552.59
SPY,SPDR S&P 500 ETF TRUST,62,$521.07
BRKB,BERKSHIRE HATHAWAYINC,20,$451.84
LMT,LOCKHEED MARTIN CORP,8,$445.40
META,META PLATFORMS INC,18.0704,$426.85
MSFT,MICROSOFT CORP,10,$414.00
VOOG,VANGUARD S&P 500 GROWTH,55,$370.34
CRWD,CROWDSTRIKE HLDGS INC,12,$275.99
COIN,COINBASE GLOBAL INC REG,30,$247.90
POWL,POWELL INDS INC,17,$238.47
APP,APPLOVIN CORP COM,55,$171.78
GOOGL,ALPHABET INC SHS    CL A,25,$165.25
AMD,ADVNCD MICRO D INC,46,$150.54
XLV,HEALTH CARE SELECT SPDR,32,$138.71
RCL,ROYAL CARIBBEAN GROUP,22.1964,$137.79
GOOG,ALPHABET INC SHS    CL C,15.0523,$127.06
STRL,STERLING INFRA INC,20,$119.10
QTWO,Q2 HOLDINGS INC SHS,50,$108.86
SBUX,STARBUCKS CORP,48,$97.57
ALAB,ASTERA LABS INC REG SHS,55,$91.71
MU,MICRON TECHNOLOGY INC,57,$89.07
XBI,SPDR S P BIOTECH,30.0074,$85.59
TWLO,TWILIO INC CL A,63,$84.79
OKTA,OKTA INC REG SHS    CL A,30,$82.56
ARE,ALEXANDRIA REAL EST EQTS,0.4373,$79.44
CRDO,CREDO TECH GROUP HLDG,152,$71.89
ANET,ARISTA NETWORKS INC REG,64,$67.69
NVDA,NVIDIA,120.0298,$54.83
O,REALTY INCM CRP MD PV$1.,50,$54.51
CLS,CELESTICA INC,171,$50.71
SYF,SYNCHRONY FINL COM,100,$48.60
SMCI,SUPER MICRO COMPUTER INC,140,$44.09
MAIN,MAIN STR CAP CORP,64.4414,$40.56
MFC,MANULIFE FINANCIAL CORP,184.0616,$23.52
CCL,CARNIVAL CORP PAIRED SHS,200,$22.40
USBPRH,US BANCORP,262.4253,$20.58
LC,LENDINGCLUB CORP,300,$17.16
EZPW,EZCORP INC NON VTG CL A,400,$15.80
JPC,NUVEEN PREFERRED & INCOM,600,$7.50
