Exported on: 06/15/2025 10:55 AM ET

Selected account(s):CMA-Edge 25Z-58U77


,
"CMA-Edge 25Z-58U77" ,"Value" ,"Day's Value Change" ,"Unrealized Gain/Loss" 
"" ,"$320,551.78" ,"$0.00 0.00%" ,"+$55,289.96 +21.86%" 
,
"" 
"Symbol " ,"Description" ,"Quantity" ,"% of Portfolio" ,"Unit Cost" ,"Price" ,"Value" ,"Day's Value $ Chg % Chg" ,"Unrealized Gain/Loss $ Chg % Chg" 
"ASML" ,"ASML HLDG NV NY REG SHS" ,"7" ,"1.66%" ,"$705.09" ,"$761.00" ,"$5,327.00" ,"$0.00 0.00%" ,"+$391.40 +7.93%" 
"VOO" ,"VANGUARD 500 INDEX FUND" ,"29" ,"4.97%" ,"$552.59" ,"$548.77" ,"$15,914.33" ,"$0.00 0.00%" ,"-$110.77 -0.69%" 
"SPY" ,"SPDR S&P 500 ETF TRUST" ,"62" ,"11.55%" ,"$521.07" ,"$597.00" ,"$37,014.00" ,"$0.00 0.00%" ,"+$4,707.91 +14.57%" 
"BRKB" ,"BERKSHIRE HATHAWAYINC" ,"20" ,"3.04%" ,"$451.84" ,"$487.54" ,"$9,750.80" ,"$0.00 0.00%" ,"+$713.95 +7.90%" 
"LMT" ,"LOCKHEED MARTIN CORP" ,"8" ,"1.21%" ,"$445.40" ,"$486.45" ,"$3,891.60" ,"$0.00 0.00%" ,"+$328.40 +9.22%" 
"META" ,"META PLATFORMS INC" ,"18.0704" ,"3.85%" ,"$426.85" ,"$682.87" ,"$12,339.75" ,"$0.00 0.00%" ,"+$4,626.33 +59.98%" 
"MSFT" ,"MICROSOFT CORP" ,"10" ,"1.48%" ,"$414.00" ,"$474.96" ,"$4,749.60" ,"$0.00 0.00%" ,"+$609.60 +14.72%" 
"VOOG" ,"VANGUARD S&P 500 GROWTH" ,"55" ,"6.50%" ,"$370.34" ,"$379.04" ,"$20,847.20" ,"$0.00 0.00%" ,"+$478.53 +2.35%" 
"CRWD" ,"CROWDSTRIKE HLDGS INC" ,"12" ,"1.80%" ,"$275.99" ,"$480.62" ,"$5,767.44" ,"$0.00 0.00%" ,"+$2,455.54 +74.14%" 
"COIN" ,"COINBASE GLOBAL INC REG" ,"30" ,"2.27%" ,"$247.90" ,"$242.71" ,"$7,281.30" ,"$0.00 0.00%" ,"-$155.70 -2.09%" 
"POWL" ,"POWELL INDS INC" ,"17" ,"1.00%" ,"$238.47" ,"$187.85" ,"$3,193.45" ,"$0.00 0.00%" ,"-$860.55 -21.23%" 
"APP" ,"APPLOVIN CORP COM" ,"55" ,"6.25%" ,"$171.78" ,"$364.49" ,"$20,046.95" ,"$0.00 0.00%" ,"+$10,598.87 +112.18%" 
"GOOGL" ,"ALPHABET INC SHS    CL A" ,"25" ,"1.36%" ,"$165.25" ,"$174.67" ,"$4,366.75" ,"$0.00 0.00%" ,"+$235.62 +5.70%" 
"AMD" ,"ADVNCD MICRO D INC" ,"46" ,"1.67%" ,"$150.54" ,"$116.16" ,"$5,343.36" ,"$0.00 0.00%" ,"-$1,581.30 -22.84%" 
"XLV" ,"HEALTH CARE SELECT SPDR" ,"32" ,"1.36%" ,"$138.71" ,"$136.13" ,"$4,356.16" ,"$0.00 0.00%" ,"-$82.52 -1.86%" 
"RCL" ,"ROYAL CARIBBEAN GROUP" ,"22.1964" ,"1.79%" ,"$137.79" ,"$258.08" ,"$5,728.45" ,"$0.00 0.00%" ,"+$2,670.08 +87.30%" 
"GOOG" ,"ALPHABET INC SHS    CL C" ,"15.0523" ,"0.83%" ,"$127.06" ,"$175.88" ,"$2,647.40" ,"$0.00 0.00%" ,"+$734.89 +38.43%" 
"STRL" ,"STERLING INFRA INC" ,"20" ,"1.27%" ,"$119.10" ,"$202.99" ,"$4,059.80" ,"$0.00 0.00%" ,"+$1,677.80 +70.44%" 
"QTWO" ,"Q2 HOLDINGS INC SHS" ,"50" ,"1.34%" ,"$108.86" ,"$85.68" ,"$4,284.00" ,"$0.00 0.00%" ,"-$1,159.00 -21.29%" 
"SBUX" ,"STARBUCKS CORP" ,"48" ,"1.40%" ,"$97.57" ,"$93.26" ,"$4,476.48" ,"$0.00 0.00%" ,"-$206.90 -4.42%" 
"ALAB" ,"ASTERA LABS INC REG SHS" ,"55" ,"1.54%" ,"$91.71" ,"$89.73" ,"$4,935.15" ,"$0.00 0.00%" ,"-$108.84 -2.16%" 
"MU" ,"MICRON TECHNOLOGY INC" ,"57" ,"2.06%" ,"$89.07" ,"$115.60" ,"$6,589.20" ,"$0.00 0.00%" ,"+$1,512.22 +29.79%" 
